event,event details,timestamp
started,,1684805871.0658271
filter,removed fixations greater than 1000,1684805873.696647
filter,removed fixations less than 100,1684805875.9315
selected,algorithm Warp,1684805878.588973
manual_moving, fixation 0 moved from x:1572.0 y:497.3 to x:1585.184254568435 y:494.6277948567945,1684805886.2024162
auto_moving, fixation 1 moved from x:1629.1 y:501.7 to x:1629.1 y:494.0,1684805890.740381
auto_moving, fixation 2 moved from x:1656.9 y:504.9 to x:1656.9 y:494.0,1684805892.131229
auto_moving, fixation 3 moved from x:1524.0 y:506.1 to x:1524.0 y:494.0,1684805893.4577332
auto_moving, fixation 4 moved from x:1526.9 y:512.0 to x:1526.9 y:494.0,1684805894.894018
auto_moving, fixation 5 moved from x:1489.3 y:506.0 to x:1489.3 y:494.0,1684805896.2154691
auto_moving, fixation 6 moved from x:1455.7 y:507.6 to x:1455.7 y:494.0,1684805897.457545
auto_moving, fixation 7 moved from x:1463.1 y:505.5 to x:1463.1 y:494.0,1684805898.7697349
auto_moving, fixation 8 moved from x:1478.0 y:508.6 to x:1478.0 y:494.0,1684805900.0728042
auto_moving, fixation 9 moved from x:1445.6 y:508.4 to x:1445.6 y:494.0,1684805901.348434
auto_moving, fixation 10 moved from x:1446.7 y:500.5 to x:1446.7 y:494.0,1684805902.584607
auto_moving, fixation 11 moved from x:1408.9 y:506.0 to x:1408.9 y:494.0,1684805903.799377
auto_moving, fixation 12 moved from x:1369.4 y:503.5 to x:1369.4 y:494.0,1684805905.0771468
auto_moving, fixation 13 moved from x:1331.2 y:506.9 to x:1331.2 y:494.0,1684805906.301694
auto_moving, fixation 14 moved from x:1279.1 y:502.8 to x:1279.1 y:494.0,1684805907.546585
auto_moving, fixation 15 moved from x:1210.6 y:498.8 to x:1210.6 y:494.0,1684805908.814485
auto_moving, fixation 16 moved from x:1146.2 y:498.8 to x:1146.2 y:494.0,1684805910.074271
auto_moving, fixation 17 moved from x:1080.5 y:504.3 to x:1080.5 y:494.0,1684805911.352652
auto_moving, fixation 18 moved from x:1014.2 y:513.6 to x:1014.2 y:494.0,1684805912.6627572
auto_moving, fixation 19 moved from x:851.6 y:506.9 to x:851.6 y:494.0,1684805913.9372978
auto_moving, fixation 20 moved from x:898.0 y:506.0 to x:898.0 y:494.0,1684805915.230197
auto_moving, fixation 21 moved from x:903.2 y:505.8 to x:903.2 y:494.0,1684805916.6091368
auto_moving, fixation 22 moved from x:857.7 y:505.9 to x:857.7 y:494.0,1684805917.898251
auto_moving, fixation 23 moved from x:763.9 y:499.1 to x:763.9 y:494.0,1684805919.160715
auto_moving, fixation 24 moved from x:802.4 y:492.3 to x:802.4 y:494.0,1684805920.475608
auto_moving, fixation 25 moved from x:743.2 y:488.3 to x:743.2 y:494.0,1684805921.8085032
auto_moving, fixation 26 moved from x:719.4 y:499.9 to x:719.4 y:494.0,1684805922.9807549
auto_moving, fixation 27 moved from x:660.0 y:499.9 to x:660.0 y:494.0,1684805924.210768
auto_moving, fixation 28 moved from x:633.3 y:502.2 to x:633.3 y:494.0,1684805925.410181
auto_moving, fixation 29 moved from x:562.4 y:499.8 to x:562.4 y:494.0,1684805926.6485288
auto_moving, fixation 30 moved from x:524.7 y:493.2 to x:524.7 y:494.0,1684805927.855295
auto_moving, fixation 31 moved from x:558.2 y:489.6 to x:558.2 y:494.0,1684805929.231593
auto_moving, fixation 32 moved from x:611.5 y:492.8 to x:611.5 y:494.0,1684805930.8217978
auto_moving, fixation 33 moved from x:613.4 y:488.9 to x:613.4 y:494.0,1684805932.175475
auto_moving, fixation 34 moved from x:568.7 y:516.1 to x:568.7 y:494.0,1684805933.6665542
auto_moving, fixation 35 moved from x:526.6 y:497.0 to x:526.6 y:494.0,1684805934.9746392
manual_moving, fixation 36 moved from x:447.6 y:494.8 to x:455.9975006097342 y:497.85865824437303,1684805940.467728
auto_moving, fixation 37 moved from x:480.2 y:495.4 to x:480.2 y:494.0,1684805944.394345
auto_moving, fixation 38 moved from x:458.2 y:497.4 to x:458.2 y:494.0,1684805945.641576
auto_moving, fixation 39 moved from x:426.6 y:502.9 to x:426.6 y:494.0,1684805946.9392152
auto_moving, fixation 40 moved from x:368.6 y:497.1 to x:368.6 y:494.0,1684805949.994174
auto_moving, fixation 41 moved from x:333.4 y:494.4 to x:333.4 y:494.0,1684805951.314944
auto_moving, fixation 42 moved from x:287.2 y:498.3 to x:287.2 y:494.0,1684805952.7553852
manual_moving, fixation 42 moved from x:287.2 y:494.0 to x:283.14630937428205 y:491.39693146921604,1684805956.730054
manual_moving, fixation 41 moved from x:333.4 y:494.0 to x:321.91667002522456 y:496.2432265505838,1684805961.3834822
manual_moving, fixation 40 moved from x:368.6 y:494.0 to x:350.9944405134315 y:499.47408993816236,1684805963.680474
manual_moving, fixation 40 moved from x:350.9944405134315 y:499.47408993816236 to x:378.45677930784905 y:501.0895216319516,1684805968.400583
manual_moving, fixation 41 moved from x:321.91667002522456 y:496.2432265505838 to x:334.84012357553877 y:499.47408993816236,1684805971.057725
auto_moving, fixation 43 moved from x:254.7 y:499.4 to x:254.7 y:494.0,1684805973.057456
