event,event details,timestamp
started,,1684800265.8785641
filter,removed fixations less than 100,1684800269.6322718
filter,removed fixations greater than 1000,1684800271.5088599
selected,algorithm Warp,1684800278.117768
auto_moving, fixation 0 moved from x:701.3 y:491.7 to x:701.3 y:461.0,1684800281.528301
auto_moving, fixation 1 moved from x:562.0 y:475.7 to x:562.0 y:461.0,1684800282.6799822
auto_moving, fixation 2 moved from x:734.3 y:474.1 to x:734.3 y:461.0,1684800283.845526
auto_moving, fixation 3 moved from x:651.0 y:461.3 to x:651.0 y:461.0,1684800284.976777
auto_moving, fixation 4 moved from x:832.8 y:455.8 to x:832.8 y:461.0,1684800286.0841112
auto_moving, fixation 5 moved from x:569.1 y:456.4 to x:569.1 y:461.0,1684800287.1027782
auto_moving, fixation 6 moved from x:718.3 y:460.0 to x:718.3 y:461.0,1684800288.276226
auto_moving, fixation 7 moved from x:919.1 y:460.5 to x:919.1 y:461.0,1684800289.390203
auto_moving, fixation 8 moved from x:1079.5 y:469.2 to x:1079.5 y:461.0,1684800290.5706758
auto_moving, fixation 9 moved from x:1032.4 y:468.2 to x:1032.4 y:461.0,1684800291.744452
manual_moving, fixation 8 moved from x:1079.5 y:461.0 to x:1087.6312928813395 y:462.3191609810091,1684800295.9480278
manual_moving, fixation 8 moved from x:1087.6312928813395 y:462.3191609810091 to x:1089.2467245751286 y:462.3191609810091,1684800301.1591969
manual_moving, fixation 8 moved from x:1089.2467245751286 y:462.3191609810091 to x:1086.0158611875502 y:460.70372928721986,1684800304.895108
auto_moving, fixation 10 moved from x:1165.0 y:457.5 to x:1165.0 y:461.0,1684800307.69504
auto_moving, fixation 11 moved from x:1238.3 y:454.6 to x:1238.3 y:461.0,1684800309.293625
auto_moving, fixation 12 moved from x:1349.5 y:470.1 to x:1349.5 y:461.0,1684800310.469137
auto_moving, fixation 13 moved from x:1058.3 y:470.2 to x:1058.3 y:461.0,1684800311.769342
auto_moving, fixation 14 moved from x:1167.0 y:468.5 to x:1167.0 y:461.0,1684800312.918879
auto_moving, fixation 15 moved from x:1338.8 y:477.1 to x:1338.8 y:461.0,1684800314.072011
auto_moving, fixation 16 moved from x:1220.9 y:466.0 to x:1220.9 y:461.0,1684800315.194293
auto_moving, fixation 17 moved from x:1290.6 y:463.5 to x:1290.6 y:461.0,1684800316.354493
auto_moving, fixation 18 moved from x:1203.1 y:454.3 to x:1203.1 y:461.0,1684800317.4782112
auto_moving, fixation 19 moved from x:1282.9 y:466.3 to x:1282.9 y:461.0,1684800318.6365151
auto_moving, fixation 20 moved from x:1415.7 y:479.6 to x:1415.7 y:461.0,1684800319.733239
auto_moving, fixation 21 moved from x:1414.4 y:495.0 to x:1414.4 y:461.0,1684800320.881439
auto_moving, fixation 22 moved from x:1285.4 y:487.1 to x:1285.4 y:461.0,1684800322.002409
auto_moving, fixation 23 moved from x:1422.8 y:491.1 to x:1422.8 y:461.0,1684800323.079021
auto_moving, fixation 24 moved from x:1428.2 y:495.4 to x:1428.2 y:461.0,1684800324.3671072
auto_moving, fixation 25 moved from x:1221.6 y:478.0 to x:1221.6 y:461.0,1684800325.47535
auto_moving, fixation 26 moved from x:1227.5 y:454.1 to x:1227.5 y:461.0,1684800326.5851588
auto_moving, fixation 27 moved from x:1295.0 y:473.3 to x:1295.0 y:461.0,1684800327.685944
auto_moving, fixation 28 moved from x:1391.0 y:491.1 to x:1391.0 y:461.0,1684800328.771195
auto_moving, fixation 29 moved from x:996.4 y:536.6 to x:996.4 y:461.0,1684800329.8898098
manual_moving, fixation 29 moved from x:996.4 y:461.0 to x:971.3202109285119 y:526.93642873258,1684800333.281329
manual_moving, fixation 29 moved from x:971.3202109285119 y:526.93642873258 to x:971.3202109285119 y:525.3209970387907,1684800335.900987
auto_moving, fixation 30 moved from x:1381.9 y:499.0 to x:1381.9 y:461.0,1684800337.967606
auto_moving, fixation 31 moved from x:1281.5 y:477.5 to x:1281.5 y:461.0,1684800339.36062
auto_moving, fixation 32 moved from x:1333.7 y:485.0 to x:1333.7 y:461.0,1684800342.889287
auto_moving, fixation 33 moved from x:1408.5 y:477.9 to x:1408.5 y:461.0,1684800344.2536871
auto_moving, fixation 34 moved from x:1195.7 y:474.9 to x:1195.7 y:461.0,1684800345.495473
auto_moving, fixation 35 moved from x:931.1 y:467.7 to x:931.1 y:461.0,1684800346.770429
auto_moving, fixation 36 moved from x:1049.0 y:480.6 to x:1049.0 y:461.0,1684800348.100457
auto_moving, fixation 37 moved from x:1054.6 y:490.8 to x:1054.6 y:461.0,1684800349.354583
auto_moving, fixation 38 moved from x:829.8 y:493.7 to x:829.8 y:461.0,1684800350.575242
auto_moving, fixation 39 moved from x:682.3 y:484.2 to x:682.3 y:461.0,1684800351.824977
auto_moving, fixation 40 moved from x:752.8 y:484.5 to x:752.8 y:461.0,1684800353.0962079
auto_moving, fixation 41 moved from x:1067.7 y:480.5 to x:1067.7 y:461.0,1684800356.8999622
auto_moving, fixation 42 moved from x:1071.7 y:487.4 to x:1071.7 y:461.0,1684800358.196268
auto_moving, fixation 43 moved from x:1159.2 y:472.3 to x:1159.2 y:461.0,1684800359.356456
auto_moving, fixation 44 moved from x:1040.7 y:469.8 to x:1040.7 y:461.0,1684800360.5988631
auto_moving, fixation 45 moved from x:1040.6 y:471.8 to x:1040.6 y:461.0,1684800361.818343
auto_moving, fixation 46 moved from x:1156.5 y:480.9 to x:1156.5 y:461.0,1684800363.121768
auto_moving, fixation 47 moved from x:1152.3 y:481.4 to x:1152.3 y:461.0,1684800364.430102
auto_moving, fixation 48 moved from x:1304.2 y:472.5 to x:1304.2 y:461.0,1684800365.579106
auto_moving, fixation 49 moved from x:1216.3 y:475.1 to x:1216.3 y:461.0,1684800366.809064
auto_moving, fixation 50 moved from x:1314.0 y:494.5 to x:1314.0 y:461.0,1684800367.97953
auto_moving, fixation 51 moved from x:1020.9 y:531.3 to x:1020.9 y:461.0,1684800369.112169
manual_moving, fixation 9 moved from x:1032.4 y:461.0 to x:1008.4751398856652 y:528.5518604263692,1684800372.9419332
manual_moving, fixation 51 moved from x:1020.9 y:461.0 to x:1132.863380307439 y:612.5543085034113,1684800375.715553
manual_moving, fixation 9 moved from x:1008.4751398856652 y:528.5518604263692 to x:971.3202109285119 y:526.93642873258,1684800379.844855
manual_moving, fixation 51 moved from x:1132.863380307439 y:612.5543085034113 to x:968.0893475409334 y:588.3228330965723,1684800382.581151
manual_moving, fixation 51 moved from x:968.0893475409334 y:588.3228330965723 to x:985.8590961726154 y:591.5536964841508,1684800389.470349
manual_moving, fixation 52 moved from x:1024.1 y:553.4 to x:968.0893475409334 y:593.1691281779401,1684800397.5774431
