event,event details,timestamp
started,,1684798127.0107331
filter,removed fixations greater than 1000,1684798129.5767019
filter,removed fixations less than 100,1684798131.2120929
selected,algorithm Warp,1684798133.833695
auto_moving, fixation 0 moved from x:672.0 y:490.1 to x:672.0 y:527.0,1684798137.740211
manual_moving, fixation 1 moved from x:647.6 y:499.5 to x:643.3875770892897 y:526.93642873258,1684798143.454139
auto_moving, fixation 2 moved from x:752.9 y:522.8 to x:752.9 y:527.0,1684798147.180657
auto_moving, fixation 3 moved from x:591.8 y:506.6 to x:591.8 y:527.0,1684798148.614421
manual_moving, fixation 3 moved from x:591.8 y:527.0 to x:604.6172164383471 y:526.93642873258,1684798156.828458
manual_moving, fixation 4 moved from x:577.6 y:481.6 to x:606.2326481321364 y:528.5518604263692,1684798164.7719018
auto_moving, fixation 5 moved from x:600.7 y:505.3 to x:600.7 y:527.0,1684798169.064476
auto_moving, fixation 6 moved from x:603.1 y:511.8 to x:603.1 y:527.0,1684798170.440702
manual_moving, fixation 7 moved from x:564.0 y:493.0 to x:604.6172164383471 y:531.7827238139478,1684798176.170453
manual_moving, fixation 8 moved from x:567.6 y:509.8 to x:601.3863530507687 y:531.7827238139478,1684798180.7904909
auto_moving, fixation 9 moved from x:600.4 y:517.0 to x:600.4 y:527.0,1684798184.6706939
auto_moving, fixation 10 moved from x:604.3 y:522.5 to x:604.3 y:527.0,1684798185.986884
manual_moving, fixation 11 moved from x:579.9 y:489.2 to x:603.0017847445579 y:531.7827238139478,1684798201.487699
auto_moving, fixation 12 moved from x:666.7 y:516.0 to x:666.7 y:527.0,1684798205.936051
auto_moving, fixation 13 moved from x:700.0 y:523.7 to x:700.0 y:527.0,1684798207.3017018
auto_moving, fixation 14 moved from x:743.3 y:538.6 to x:743.3 y:527.0,1684798208.950749
auto_moving, fixation 15 moved from x:813.9 y:535.8 to x:813.9 y:527.0,1684798210.527814
auto_moving, fixation 16 moved from x:857.5 y:534.3 to x:857.5 y:527.0,1684798211.911944
auto_moving, fixation 17 moved from x:933.8 y:540.6 to x:933.8 y:527.0,1684798213.283233
auto_moving, fixation 18 moved from x:1030.3 y:543.7 to x:1030.3 y:527.0,1684798214.670321
auto_moving, fixation 19 moved from x:1119.8 y:549.4 to x:1119.8 y:527.0,1684798215.990921
auto_moving, fixation 20 moved from x:1165.9 y:550.0 to x:1165.9 y:527.0,1684798217.8305652
manual_moving, fixation 20 moved from x:1165.9 y:527.0 to x:1160.3257191018567 y:528.5518604263692,1684798221.784699
auto_moving, fixation 21 moved from x:1128.1 y:550.8 to x:1128.1 y:527.0,1684798224.0460742
auto_moving, fixation 22 moved from x:1207.8 y:549.5 to x:1207.8 y:527.0,1684798225.5453959
auto_moving, fixation 23 moved from x:1134.5 y:548.1 to x:1134.5 y:527.0,1684798227.163264
auto_moving, fixation 24 moved from x:1203.4 y:543.7 to x:1203.4 y:527.0,1684798228.7515059
auto_moving, fixation 25 moved from x:1218.0 y:549.6 to x:1218.0 y:527.0,1684798230.263618
Saved,Date 2023-05-22 Trial Name026_kazakh_single_2_MediumFont.json File Path /Users/owen/Desktop/fix8-main/golden_set/MET_Dataset/Kazakh/MediumFont/single/026_kazakh_single_2_MediumFont/026_kazakh_single_2.jpg Duration 105.6335198879242,1684798232.644313
Saved,Date 2023-05-22 Trial Name026_kazakh_single_2_MediumFont.json File Path /Users/owen/Desktop/fix8-main/golden_set/MET_Dataset/Kazakh/MediumFont/single/026_kazakh_single_2_MediumFont/026_kazakh_single_2.jpg Duration 105.83118009567261,1684798232.841964
