event,event details,timestamp
started,,1684798250.593305
filter,removed fixations greater than 1000,1684798252.796133
filter,removed fixations less than 100,1684798254.3184068
selected,algorithm Warp,1684798257.2926872
auto_moving, fixation 0 moved from x:482.8 y:491.1 to x:482.8 y:530.0,1684798261.34899
auto_moving, fixation 1 moved from x:309.8 y:501.7 to x:309.8 y:530.0,1684798263.013652
auto_moving, fixation 2 moved from x:258.0 y:521.6 to x:258.0 y:530.0,1684798264.384363
auto_moving, fixation 3 moved from x:288.9 y:521.3 to x:288.9 y:530.0,1684798265.880585
auto_moving, fixation 4 moved from x:360.5 y:527.2 to x:360.5 y:530.0,1684798268.281322
auto_moving, fixation 5 moved from x:375.6 y:539.6 to x:375.6 y:530.0,1684798269.741941
auto_moving, fixation 6 moved from x:370.0 y:533.2 to x:370.0 y:530.0,1684798272.655089
auto_moving, fixation 7 moved from x:251.8 y:522.8 to x:251.8 y:530.0,1684798274.0847292
auto_moving, fixation 8 moved from x:251.2 y:527.1 to x:251.2 y:530.0,1684798275.43758
auto_moving, fixation 9 moved from x:365.7 y:513.0 to x:365.7 y:530.0,1684798276.983147
auto_moving, fixation 10 moved from x:427.6 y:528.0 to x:427.6 y:530.0,1684798278.266081
auto_moving, fixation 11 moved from x:506.6 y:518.9 to x:506.6 y:530.0,1684798279.603149
auto_moving, fixation 12 moved from x:569.7 y:518.1 to x:569.7 y:530.0,1684798280.9659572
manual_moving, fixation 13 moved from x:644.4 y:516.0 to x:643.6432891417713 y:532.1266140725254,1684798300.676911
manual_moving, fixation 13 moved from x:643.6432891417713 y:532.1266140725254 to x:643.6432891417713 y:529.7622540055975,1684798303.043338
auto_moving, fixation 14 moved from x:488.1 y:520.2 to x:488.1 y:530.0,1684798307.8624609
auto_moving, fixation 15 moved from x:433.0 y:528.2 to x:433.0 y:530.0,1684798310.250817
auto_moving, fixation 16 moved from x:525.8 y:528.5 to x:525.8 y:530.0,1684798311.4151099
auto_moving, fixation 17 moved from x:567.3 y:520.5 to x:567.3 y:530.0,1684798312.480441
auto_moving, fixation 18 moved from x:572.5 y:524.4 to x:572.5 y:530.0,1684798313.539532
auto_moving, fixation 19 moved from x:617.5 y:501.3 to x:617.5 y:530.0,1684798314.591949
auto_moving, fixation 20 moved from x:530.2 y:520.8 to x:530.2 y:530.0,1684798315.8410618
