event,event details,timestamp
started,,1684801417.480629
filter,removed fixations greater than 1000,1684801419.65186
filter,removed fixations less than 100,1684801421.3961868
selected,algorithm Warp,1684801424.358367
manual_moving, fixation 0 moved from x:349.4 y:413.4 to x:349.3790088196422 y:407.3944833921738,1684801431.043923
auto_moving, fixation 1 moved from x:210.1 y:376.8 to x:210.1 y:355.0,1684801435.500615
auto_moving, fixation 2 moved from x:688.9 y:406.4 to x:688.9 y:355.0,1684801437.437243
auto_moving, fixation 3 moved from x:191.8 y:369.3 to x:191.8 y:355.0,1684801439.1812658
auto_moving, fixation 4 moved from x:163.8 y:372.8 to x:163.8 y:355.0,1684801441.930227
manual_moving, fixation 4 moved from x:163.8 y:355.0 to x:174.91238589040083 y:357.31610088470643,1684801448.460854
auto_moving, fixation 5 moved from x:261.4 y:382.5 to x:261.4 y:355.0,1684801450.4959638
auto_moving, fixation 6 moved from x:237.1 y:381.9 to x:237.1 y:355.0,1684801451.963574
auto_moving, fixation 7 moved from x:240.4 y:394.1 to x:240.4 y:355.0,1684801453.233674
auto_moving, fixation 8 moved from x:357.1 y:375.3 to x:357.1 y:355.0,1684801454.432595
auto_moving, fixation 9 moved from x:485.3 y:370.6 to x:485.3 y:355.0,1684801455.576816
auto_moving, fixation 10 moved from x:486.4 y:384.2 to x:486.4 y:355.0,1684801456.8252869
auto_moving, fixation 11 moved from x:617.7 y:373.3 to x:617.7 y:355.0,1684801457.9821172
auto_moving, fixation 12 moved from x:371.9 y:365.7 to x:371.9 y:355.0,1684801459.255095
auto_moving, fixation 13 moved from x:226.9 y:369.6 to x:226.9 y:355.0,1684801460.5385962
auto_moving, fixation 14 moved from x:191.4 y:363.5 to x:191.4 y:355.0,1684801461.763444
auto_moving, fixation 15 moved from x:302.0 y:363.7 to x:302.0 y:355.0,1684801463.0678241
auto_moving, fixation 16 moved from x:396.6 y:366.7 to x:396.6 y:355.0,1684801464.310396
auto_moving, fixation 17 moved from x:478.8 y:360.3 to x:478.8 y:355.0,1684801465.637692
auto_moving, fixation 18 moved from x:542.8 y:360.7 to x:542.8 y:355.0,1684801466.756472
auto_moving, fixation 19 moved from x:647.2 y:355.3 to x:647.2 y:355.0,1684801468.001339
manual_moving, fixation 19 moved from x:647.2 y:355.0 to x:657.9264623333931 y:355.7006691909171,1684801472.417542
auto_moving, fixation 20 moved from x:612.6 y:358.4 to x:612.6 y:355.0,1684801474.3811
auto_moving, fixation 21 moved from x:716.7 y:350.5 to x:716.7 y:355.0,1684801478.067704
auto_moving, fixation 22 moved from x:782.0 y:352.4 to x:782.0 y:355.0,1684801479.332387
auto_moving, fixation 23 moved from x:862.5 y:350.3 to x:862.5 y:355.0,1684801480.655806
auto_moving, fixation 24 moved from x:836.7 y:352.6 to x:836.7 y:355.0,1684801481.978571
auto_moving, fixation 25 moved from x:960.1 y:350.8 to x:960.1 y:355.0,1684801483.288102
auto_moving, fixation 26 moved from x:917.0 y:346.7 to x:917.0 y:355.0,1684801484.560609
