event,event details,timestamp
started,,1684806311.138784
filter,removed fixations greater than 1000,1684806313.696193
filter,removed fixations less than 100,1684806314.518686
selected,algorithm Warp,1684806316.50476
auto_moving, fixation 0 moved from x:1114.1 y:490.1 to x:1114.1 y:495.0,1684806319.560683
auto_moving, fixation 1 moved from x:1071.8 y:488.4 to x:1071.8 y:495.0,1684806320.872343
auto_moving, fixation 2 moved from x:1026.1 y:486.8 to x:1026.1 y:495.0,1684806322.123104
auto_moving, fixation 3 moved from x:1018.2 y:485.1 to x:1018.2 y:495.0,1684806323.28186
auto_moving, fixation 4 moved from x:1068.9 y:488.9 to x:1068.9 y:495.0,1684806324.5258958
auto_moving, fixation 5 moved from x:999.6 y:482.4 to x:999.6 y:495.0,1684806325.68526
auto_moving, fixation 6 moved from x:929.9 y:471.5 to x:929.9 y:495.0,1684806326.98749
auto_moving, fixation 7 moved from x:970.0 y:480.6 to x:970.0 y:495.0,1684806328.1077602
auto_moving, fixation 8 moved from x:911.7 y:477.8 to x:911.7 y:495.0,1684806329.286784
auto_moving, fixation 9 moved from x:967.3 y:489.2 to x:967.3 y:495.0,1684806330.4327
auto_moving, fixation 10 moved from x:903.2 y:480.6 to x:903.2 y:495.0,1684806331.52451
auto_moving, fixation 11 moved from x:846.5 y:475.8 to x:846.5 y:495.0,1684806332.775116
auto_moving, fixation 12 moved from x:799.1 y:479.1 to x:799.1 y:495.0,1684806333.9409559
auto_moving, fixation 13 moved from x:771.3 y:480.0 to x:771.3 y:495.0,1684806338.023901
auto_moving, fixation 14 moved from x:1074.4 y:472.8 to x:1074.4 y:495.0,1684806340.215868
auto_moving, fixation 15 moved from x:1070.0 y:482.2 to x:1070.0 y:495.0,1684806341.742229
auto_moving, fixation 16 moved from x:1028.0 y:505.8 to x:1028.0 y:495.0,1684806343.123899
manual_moving, fixation 17 moved from x:963.3 y:546.1 to x:963.2430524595654 y:562.475925995944,1684806347.4555678
manual_moving, fixation 18 moved from x:938.0 y:547.7 to x:951.9350306030406 y:565.7067893835225,1684806354.5199628
auto_moving, fixation 19 moved from x:1084.0 y:502.5 to x:1084.0 y:495.0,1684806360.9667368
auto_moving, fixation 20 moved from x:1102.2 y:493.5 to x:1102.2 y:495.0,1684806362.3143501
manual_moving, fixation 21 moved from x:1019.6 y:486.6 to x:1019.78316174219 y:496.2432265505838,1684806368.2549062
auto_moving, fixation 22 moved from x:987.4 y:536.8 to x:987.4 y:560.0,1684806373.8396358
auto_moving, fixation 23 moved from x:942.8 y:550.8 to x:942.8 y:560.0,1684806375.37107
auto_moving, fixation 24 moved from x:956.7 y:604.5 to x:956.7 y:626.0,1684806376.891813
manual_moving, fixation 25 moved from x:969.3 y:527.8 to x:976.1665060098796 y:557.6296309145762,1684806382.2427788
Saved,Date 2023-05-22 Trial Name036_urdu_single_7_MediumFont.json File Path /Users/owen/Desktop/fix8-main/golden_set/MET_Dataset/Urdu/MediumFont/single/036_urdu_single_7_MediumFont/036_urdu_single_7.jpg Duration 75.21963214874268,1684806386.358467
