event,event details,timestamp
started,,1684807309.540519
filter,removed fixations greater than 1000,1684807311.713847
filter,removed fixations less than 100,1684807313.651624
selected,algorithm Warp,1684807316.248833
manual_moving, fixation 0 moved from x:968.1 y:539.3 to x:968.0893475409334 y:531.7827238139478,1684807322.3455622
manual_moving, fixation 1 moved from x:393.0 y:434.5 to x:392.9956645519526 y:433.2413904928022,1684807330.65358
auto_moving, fixation 2 moved from x:264.3 y:372.3 to x:264.3 y:379.0,1684807334.91457
auto_moving, fixation 3 moved from x:243.4 y:433.6 to x:243.4 y:379.0,1684807337.912228
auto_moving, fixation 4 moved from x:228.9 y:383.3 to x:228.9 y:379.0,1684807340.251744
auto_moving, fixation 5 moved from x:442.0 y:442.3 to x:442.0 y:379.0,1684807341.5894558
auto_moving, fixation 6 moved from x:365.2 y:369.5 to x:365.2 y:379.0,1684807342.792533
auto_moving, fixation 7 moved from x:480.0 y:361.5 to x:480.0 y:379.0,1684807344.0736132
auto_moving, fixation 8 moved from x:438.4 y:363.4 to x:438.4 y:379.0,1684807352.709182
auto_moving, fixation 9 moved from x:562.4 y:344.3 to x:562.4 y:379.0,1684807353.87077
auto_moving, fixation 10 moved from x:560.7 y:348.6 to x:560.7 y:379.0,1684807354.942413
auto_moving, fixation 11 moved from x:670.3 y:361.6 to x:670.3 y:379.0,1684807355.948639
auto_moving, fixation 12 moved from x:797.6 y:346.0 to x:797.6 y:379.0,1684807356.965497
auto_moving, fixation 13 moved from x:916.8 y:333.0 to x:916.8 y:379.0,1684807357.900456
auto_moving, fixation 14 moved from x:1100.5 y:327.0 to x:1100.5 y:379.0,1684807358.874638
auto_moving, fixation 15 moved from x:1241.1 y:323.7 to x:1241.1 y:379.0,1684807359.7205088
auto_moving, fixation 16 moved from x:1330.4 y:326.6 to x:1330.4 y:379.0,1684807360.647122
auto_moving, fixation 17 moved from x:1483.6 y:333.1 to x:1483.6 y:379.0,1684807361.563259
auto_moving, fixation 18 moved from x:1577.5 y:355.9 to x:1577.5 y:379.0,1684807362.48251
auto_moving, fixation 19 moved from x:1577.5 y:358.3 to x:1577.5 y:379.0,1684807363.407732
auto_moving, fixation 20 moved from x:1636.8 y:363.0 to x:1636.8 y:379.0,1684807364.366453
auto_moving, fixation 21 moved from x:343.1 y:420.8 to x:343.1 y:429.0,1684807365.3264809
auto_moving, fixation 22 moved from x:251.8 y:430.6 to x:251.8 y:429.0,1684807366.288428
auto_moving, fixation 23 moved from x:547.9 y:408.8 to x:547.9 y:429.0,1684807367.3524039
auto_moving, fixation 24 moved from x:452.5 y:473.3 to x:452.5 y:429.0,1684807368.3076339
auto_moving, fixation 25 moved from x:446.0 y:431.9 to x:446.0 y:429.0,1684807369.3335612
auto_moving, fixation 26 moved from x:240.5 y:515.9 to x:240.5 y:429.0,1684807370.2874281
auto_moving, fixation 27 moved from x:306.0 y:410.3 to x:306.0 y:429.0,1684807371.318579
auto_moving, fixation 28 moved from x:307.5 y:418.9 to x:307.5 y:429.0,1684807372.2685199
auto_moving, fixation 29 moved from x:671.6 y:414.8 to x:671.6 y:429.0,1684807373.2892
auto_moving, fixation 30 moved from x:664.3 y:399.0 to x:664.3 y:429.0,1684807374.249611
auto_moving, fixation 31 moved from x:834.6 y:425.9 to x:834.6 y:429.0,1684807375.2663648
auto_moving, fixation 32 moved from x:586.4 y:395.0 to x:586.4 y:429.0,1684807376.292256
manual_moving, fixation 31 moved from x:834.6 y:429.0 to x:830.5059784748232 y:427.8572487758702,1684807381.669935
auto_moving, fixation 33 moved from x:490.5 y:449.8 to x:490.5 y:429.0,1684807383.90784
auto_moving, fixation 34 moved from x:478.8 y:405.1 to x:478.8 y:429.0,1684807385.478993
auto_moving, fixation 35 moved from x:586.7 y:475.3 to x:586.7 y:429.0,1684807386.5794811
auto_moving, fixation 36 moved from x:690.2 y:406.5 to x:690.2 y:429.0,1684807387.614542
auto_moving, fixation 37 moved from x:842.2 y:391.9 to x:842.2 y:429.0,1684807388.751382
auto_moving, fixation 38 moved from x:433.9 y:417.4 to x:433.9 y:429.0,1684807389.838965
auto_moving, fixation 39 moved from x:495.5 y:421.4 to x:495.5 y:429.0,1684807390.931926
auto_moving, fixation 40 moved from x:388.6 y:418.3 to x:388.6 y:429.0,1684807392.012793
auto_moving, fixation 41 moved from x:335.1 y:431.0 to x:335.1 y:429.0,1684807393.087758
auto_moving, fixation 42 moved from x:881.6 y:414.9 to x:881.6 y:429.0,1684807394.127808
auto_moving, fixation 43 moved from x:1006.1 y:418.3 to x:1006.1 y:429.0,1684807395.125482
auto_moving, fixation 44 moved from x:1124.1 y:415.1 to x:1124.1 y:429.0,1684807396.148621
