event,event details,timestamp
started,,1684806606.749015
filter,removed fixations greater than 1000,1684806609.001857
filter,removed fixations less than 100,1684806610.8766809
selected,algorithm Warp,1684806613.5057979
auto_moving, fixation 0 moved from x:1130.5 y:522.6 to x:1130.5 y:531.0,1684806625.0823739
auto_moving, fixation 1 moved from x:1164.1 y:529.6 to x:1164.1 y:531.0,1684806626.218745
auto_moving, fixation 2 moved from x:1158.3 y:531.2 to x:1158.3 y:531.0,1684806627.161904
auto_moving, fixation 3 moved from x:1156.2 y:523.9 to x:1156.2 y:531.0,1684806628.150207
auto_moving, fixation 4 moved from x:1179.6 y:528.8 to x:1179.6 y:531.0,1684806629.1444259
auto_moving, fixation 5 moved from x:1153.3 y:538.6 to x:1153.3 y:531.0,1684806630.135778
auto_moving, fixation 6 moved from x:1173.0 y:544.0 to x:1173.0 y:531.0,1684806631.106655
auto_moving, fixation 7 moved from x:1136.8 y:538.3 to x:1136.8 y:531.0,1684806632.026144
auto_moving, fixation 8 moved from x:1113.3 y:537.7 to x:1113.3 y:531.0,1684806632.922855
auto_moving, fixation 9 moved from x:1068.5 y:535.7 to x:1068.5 y:531.0,1684806633.797475
auto_moving, fixation 10 moved from x:1068.6 y:532.3 to x:1068.6 y:531.0,1684806634.642548
auto_moving, fixation 11 moved from x:1009.4 y:526.3 to x:1009.4 y:531.0,1684806635.5436149
auto_moving, fixation 12 moved from x:964.9 y:519.8 to x:964.9 y:531.0,1684806636.416121
manual_moving, fixation 11 moved from x:1009.4 y:531.0 to x:1022.7335032079418 y:532.1966457135455,1684806644.1598551
manual_moving, fixation 11 moved from x:1022.7335032079418 y:532.1966457135455 to x:1020.7737655854571 y:531.2167769023033,1684806647.4168808
manual_moving, fixation 13 moved from x:1009.1 y:519.6 to x:999.7065861437482 y:531.7067113079245,1684806650.7171042
auto_moving, fixation 14 moved from x:1006.7 y:523.6 to x:1006.7 y:531.0,1684806655.380297
auto_moving, fixation 15 moved from x:969.2 y:514.4 to x:969.2 y:531.0,1684806656.6499279
auto_moving, fixation 16 moved from x:933.5 y:527.1 to x:933.5 y:531.0,1684806659.8461282
auto_moving, fixation 17 moved from x:965.8 y:524.1 to x:965.8 y:531.0,1684806661.082006
auto_moving, fixation 18 moved from x:912.2 y:522.9 to x:912.2 y:531.0,1684806662.6009028
manual_moving, fixation 16 moved from x:933.5 y:531.0 to x:935.5251790073789 y:529.7469736854399,1684806666.0325491
manual_moving, fixation 18 moved from x:912.2 y:531.0 to x:915.9278027825333 y:534.1563833360301,1684806671.6743412
auto_moving, fixation 19 moved from x:892.7 y:518.8 to x:892.7 y:531.0,1684806673.971196
auto_moving, fixation 20 moved from x:869.3 y:516.7 to x:869.3 y:531.0,1684806675.1648471
auto_moving, fixation 21 moved from x:869.5 y:519.3 to x:869.5 y:531.0,1684806676.1714199
auto_moving, fixation 22 moved from x:866.6 y:530.7 to x:866.6 y:531.0,1684806677.1448278
auto_moving, fixation 23 moved from x:815.4 y:514.5 to x:815.4 y:531.0,1684806678.159843
auto_moving, fixation 24 moved from x:828.6 y:512.8 to x:828.6 y:531.0,1684806679.077622
auto_moving, fixation 25 moved from x:828.6 y:514.3 to x:828.6 y:531.0,1684806680.1199172
manual_moving, fixation 24 moved from x:828.6 y:531.0 to x:832.6389538269397 y:532.6865801191667,1684806682.377405
manual_moving, fixation 25 moved from x:828.6 y:531.0 to x:831.6590850156974 y:531.7067113079245,1684806683.777201
auto_moving, fixation 26 moved from x:780.2 y:531.3 to x:780.2 y:531.0,1684806685.894274
auto_moving, fixation 27 moved from x:1162.6 y:512.3 to x:1162.6 y:531.0,1684806687.443328
auto_moving, fixation 28 moved from x:1091.8 y:517.5 to x:1091.8 y:531.0,1684806688.707038
manual_moving, fixation 28 moved from x:1091.8 y:531.0 to x:1095.7337296454916 y:531.7067113079245,1684806691.647688
auto_moving, fixation 29 moved from x:1052.8 y:513.9 to x:1052.8 y:531.0,1684806693.796875
auto_moving, fixation 30 moved from x:978.8 y:514.1 to x:978.8 y:531.0,1684806695.322943
Saved,Date 2023-05-22 Trial Name036_urdu_single_1_SmallFont.json File Path /Users/owen/Desktop/fix8-main/golden_set/MET_Dataset/Urdu/SmallFont/single/036_urdu_single_1_SmallFont/036_urdu_single_1.jpg Duration 90.17635703086853,1684806696.925437
