event,event details,timestamp
started,,1684793841.455965
filter,removed fixations greater than 1000,1684793843.476928
filter,removed fixations less than 100,1684793844.4868422
selected,algorithm Warp,1684793847.240787
auto_moving, fixation 0 moved from x:529.3 y:506.8 to x:529.3 y:524.0,1684793850.218621
auto_moving, fixation 1 moved from x:424.9 y:503.9 to x:424.9 y:524.0,1684793851.473355
auto_moving, fixation 2 moved from x:479.1 y:506.9 to x:479.1 y:524.0,1684793852.652253
auto_moving, fixation 3 moved from x:517.3 y:512.6 to x:517.3 y:524.0,1684793853.867299
auto_moving, fixation 4 moved from x:577.6 y:508.3 to x:577.6 y:524.0,1684793855.051243
auto_moving, fixation 5 moved from x:434.5 y:521.6 to x:434.5 y:524.0,1684793856.268964
auto_moving, fixation 6 moved from x:479.2 y:519.2 to x:479.2 y:524.0,1684793857.4026098
auto_moving, fixation 7 moved from x:586.2 y:502.6 to x:586.2 y:524.0,1684793858.549145
auto_moving, fixation 8 moved from x:645.5 y:502.6 to x:645.5 y:524.0,1684793859.690142
auto_moving, fixation 9 moved from x:704.2 y:503.1 to x:704.2 y:524.0,1684793860.8513222
auto_moving, fixation 10 moved from x:734.5 y:508.2 to x:734.5 y:524.0,1684793861.984142
auto_moving, fixation 11 moved from x:800.5 y:508.5 to x:800.5 y:524.0,1684793863.105076
auto_moving, fixation 12 moved from x:869.2 y:497.8 to x:869.2 y:524.0,1684793864.2811148
auto_moving, fixation 13 moved from x:794.1 y:503.4 to x:794.1 y:524.0,1684793865.406114
auto_moving, fixation 14 moved from x:883.8 y:494.4 to x:883.8 y:524.0,1684793866.534026
auto_moving, fixation 15 moved from x:940.0 y:489.6 to x:940.0 y:524.0,1684793867.670955
auto_moving, fixation 16 moved from x:974.2 y:492.0 to x:974.2 y:524.0,1684793868.798252
auto_moving, fixation 17 moved from x:1035.8 y:489.9 to x:1035.8 y:524.0,1684793869.925202
auto_moving, fixation 18 moved from x:1058.9 y:493.5 to x:1058.9 y:524.0,1684793871.062867
auto_moving, fixation 19 moved from x:1144.8 y:493.8 to x:1144.8 y:524.0,1684793872.169953
auto_moving, fixation 20 moved from x:1200.0 y:496.1 to x:1200.0 y:524.0,1684793873.290132
auto_moving, fixation 21 moved from x:1242.1 y:493.9 to x:1242.1 y:524.0,1684793874.361962
auto_moving, fixation 22 moved from x:1288.4 y:490.8 to x:1288.4 y:524.0,1684793875.488191
auto_moving, fixation 23 moved from x:1335.8 y:492.0 to x:1335.8 y:524.0,1684793876.601872
auto_moving, fixation 24 moved from x:1404.1 y:497.5 to x:1404.1 y:524.0,1684793877.710759
auto_moving, fixation 25 moved from x:1435.4 y:498.3 to x:1435.4 y:524.0,1684793878.7848861
auto_moving, fixation 26 moved from x:1472.4 y:498.6 to x:1472.4 y:524.0,1684793879.8929658
auto_moving, fixation 27 moved from x:1474.0 y:493.5 to x:1474.0 y:524.0,1684793880.988576
auto_moving, fixation 28 moved from x:881.4 y:517.9 to x:881.4 y:524.0,1684793882.139185
Saved,Date 2023-05-22 Trial Name034_japanese_multi_6_MediumFont.json File Path /Users/owen/Desktop/fix8-main/golden_set/MET_Dataset/Japanese/MediumFont/multi/034_japanese_multi_6_MediumFont/034_japanese_multi_6.jpg Duration 43.29807782173157,1684793884.754111
Saved,Date 2023-05-22 Trial Name034_japanese_multi_6_MediumFont.json File Path /Users/owen/Desktop/fix8-main/golden_set/MET_Dataset/Japanese/MediumFont/multi/034_japanese_multi_6_MediumFont/034_japanese_multi_6.jpg Duration 43.500531911849976,1684793884.956558
