event,event details,timestamp
started,,1684807006.2867641
filter,removed fixations less than 100,1684807010.891794
selected,algorithm Warp,1684807015.9318411
auto_moving, fixation 0 moved from x:365.3 y:452.5 to x:365.3 y:493.0,1684807020.791541
auto_moving, fixation 1 moved from x:265.9 y:513.6 to x:265.9 y:493.0,1684807022.0128992
auto_moving, fixation 2 moved from x:659.6 y:486.2 to x:659.6 y:493.0,1684807023.264392
auto_moving, fixation 3 moved from x:887.7 y:498.1 to x:887.7 y:493.0,1684807024.3809972
auto_moving, fixation 4 moved from x:822.7 y:486.0 to x:822.7 y:493.0,1684807025.4342809
auto_moving, fixation 5 moved from x:1100.9 y:464.1 to x:1100.9 y:493.0,1684807026.575435
auto_moving, fixation 6 moved from x:1370.1 y:457.6 to x:1370.1 y:493.0,1684807027.834871
auto_moving, fixation 7 moved from x:1582.0 y:459.0 to x:1582.0 y:493.0,1684807029.030412
auto_moving, fixation 8 moved from x:1645.3 y:467.6 to x:1645.3 y:493.0,1684807030.2356942
auto_moving, fixation 9 moved from x:811.5 y:592.1 to x:811.5 y:559.0,1684807034.366526
auto_moving, fixation 10 moved from x:753.6 y:563.1 to x:753.6 y:559.0,1684807035.6899571
auto_moving, fixation 11 moved from x:1069.0 y:563.1 to x:1069.0 y:559.0,1684807037.1612191
auto_moving, fixation 12 moved from x:982.0 y:562.3 to x:982.0 y:559.0,1684807038.437481
Saved,Date 2023-05-22 Trial Name010_vietnamese_multi_2_MediumFont.json File Path /Users/owen/Desktop/fix8-main/golden_set/MET_Dataset/Vietnamese/MediumFont/multi/010_vietnamese_multi_2_MediumFont/010_vietnamese_multi_2.jpg Duration 34.93381404876709,1684807041.22064
