event,event details,timestamp
started,,1684798445.255697
filter,removed fixations greater than 1000,1684798447.824945
filter,removed fixations less than 100,1684798449.4867651
selected,algorithm Warp,1684798452.4402602
auto_moving, fixation 0 moved from x:467.2 y:410.6 to x:467.2 y:380.0,1684798457.634609
auto_moving, fixation 1 moved from x:239.4 y:393.5 to x:239.4 y:380.0,1684798459.685888
auto_moving, fixation 2 moved from x:187.4 y:399.0 to x:187.4 y:380.0,1684798461.464322
auto_moving, fixation 3 moved from x:304.3 y:389.3 to x:304.3 y:380.0,1684798462.789599
auto_moving, fixation 4 moved from x:391.3 y:387.3 to x:391.3 y:380.0,1684798464.12228
auto_moving, fixation 5 moved from x:457.3 y:380.9 to x:457.3 y:380.0,1684798465.404961
auto_moving, fixation 6 moved from x:592.8 y:373.9 to x:592.8 y:380.0,1684798466.986795
auto_moving, fixation 7 moved from x:687.0 y:366.7 to x:687.0 y:380.0,1684798468.249439
auto_moving, fixation 8 moved from x:788.0 y:365.0 to x:788.0 y:380.0,1684798469.5112908
auto_moving, fixation 9 moved from x:931.5 y:362.5 to x:931.5 y:380.0,1684798470.878502
auto_moving, fixation 10 moved from x:889.4 y:374.8 to x:889.4 y:380.0,1684798472.223796
auto_moving, fixation 11 moved from x:1424.6 y:381.7 to x:1424.6 y:380.0,1684798473.974256
auto_moving, fixation 12 moved from x:1339.4 y:379.0 to x:1339.4 y:380.0,1684798475.385707
auto_moving, fixation 13 moved from x:1593.1 y:382.5 to x:1593.1 y:380.0,1684798476.7240698
auto_moving, fixation 14 moved from x:1678.9 y:388.3 to x:1678.9 y:380.0,1684798477.955302
auto_moving, fixation 15 moved from x:287.8 y:439.3 to x:287.8 y:431.0,1684798479.759912
manual_moving, fixation 14 moved from x:1678.9 y:380.0 to x:1695.0336097461056 y:379.9321445977562,1684798488.23391
auto_moving, fixation 16 moved from x:779.1 y:430.5 to x:779.1 y:431.0,1684798491.552425
auto_moving, fixation 17 moved from x:354.3 y:440.8 to x:354.3 y:431.0,1684798492.405461
auto_moving, fixation 18 moved from x:449.1 y:427.6 to x:449.1 y:431.0,1684798495.1302688
auto_moving, fixation 19 moved from x:851.9 y:416.9 to x:851.9 y:431.0,1684798496.707384
auto_moving, fixation 20 moved from x:776.6 y:417.5 to x:776.6 y:431.0,1684798498.308033
auto_moving, fixation 21 moved from x:814.5 y:418.4 to x:814.5 y:431.0,1684798499.750489
auto_moving, fixation 22 moved from x:904.7 y:422.5 to x:904.7 y:431.0,1684798501.044706
auto_moving, fixation 23 moved from x:998.4 y:422.5 to x:998.4 y:431.0,1684798502.26409
auto_moving, fixation 24 moved from x:1053.1 y:425.3 to x:1053.1 y:431.0,1684798503.5770931
