event,event details,timestamp
started,,1684799996.0042398
filter,removed fixations greater than 1000,1684799998.9562309
filter,removed fixations less than 100,1684800003.537066
selected,algorithm Warp,1684800006.628866
auto_moving, fixation 0 moved from x:559.4 y:504.3 to x:559.4 y:494.0,1684800010.660678
auto_moving, fixation 1 moved from x:252.6 y:491.4 to x:252.6 y:494.0,1684800012.038717
auto_moving, fixation 2 moved from x:211.2 y:489.9 to x:211.2 y:494.0,1684800013.2442272
auto_moving, fixation 3 moved from x:249.9 y:484.5 to x:249.9 y:494.0,1684800014.402764
auto_moving, fixation 4 moved from x:282.9 y:487.9 to x:282.9 y:494.0,1684800015.550931
auto_moving, fixation 5 moved from x:247.6 y:487.1 to x:247.6 y:494.0,1684800016.870301
manual_moving, fixation 6 moved from x:343.3 y:483.3 to x:365.53332575753495 y:501.0895216319516,1684800021.820399
manual_moving, fixation 6 moved from x:365.53332575753495 y:501.0895216319516 to x:363.9178940637456 y:494.6277948567945,1684800028.0281742
auto_moving, fixation 7 moved from x:190.4 y:494.2 to x:190.4 y:494.0,1684800030.041924
auto_moving, fixation 8 moved from x:285.2 y:493.5 to x:285.2 y:494.0,1684800031.84682
auto_moving, fixation 9 moved from x:202.4 y:490.5 to x:202.4 y:494.0,1684800033.255446
auto_moving, fixation 10 moved from x:274.6 y:500.0 to x:274.6 y:494.0,1684800034.49598
auto_moving, fixation 11 moved from x:271.7 y:501.6 to x:271.7 y:494.0,1684800037.7863748
auto_moving, fixation 12 moved from x:472.6 y:494.5 to x:472.6 y:494.0,1684800039.069171
auto_moving, fixation 13 moved from x:352.3 y:497.3 to x:352.3 y:494.0,1684800040.257592
auto_moving, fixation 14 moved from x:188.8 y:503.8 to x:188.8 y:494.0,1684800041.5314949
auto_moving, fixation 15 moved from x:288.7 y:503.4 to x:288.7 y:494.0,1684800042.7638059
auto_moving, fixation 16 moved from x:290.0 y:508.9 to x:290.0 y:494.0,1684800043.910725
auto_moving, fixation 17 moved from x:425.9 y:517.1 to x:425.9 y:494.0,1684800045.045426
auto_moving, fixation 18 moved from x:388.4 y:504.5 to x:388.4 y:494.0,1684800046.350301
auto_moving, fixation 19 moved from x:458.1 y:495.6 to x:458.1 y:494.0,1684800047.582301
auto_moving, fixation 20 moved from x:519.7 y:494.8 to x:519.7 y:494.0,1684800048.643487
auto_moving, fixation 21 moved from x:601.2 y:491.5 to x:601.2 y:494.0,1684800049.8438342
auto_moving, fixation 22 moved from x:571.4 y:492.3 to x:571.4 y:494.0,1684800051.002165
auto_moving, fixation 23 moved from x:626.3 y:494.0 to x:626.3 y:494.0,1684800052.1677718
auto_moving, fixation 24 moved from x:546.3 y:501.6 to x:546.3 y:494.0,1684800053.470764
auto_moving, fixation 25 moved from x:598.3 y:504.6 to x:598.3 y:494.0,1684800054.7429912
