event,event details,timestamp
started,,1684793194.602192
filter,removed fixations greater than 1000,1684793197.5219169
filter,removed fixations less than 100,1684793199.3573089
selected,algorithm Warp,1684793202.7186592
auto_moving, fixation 0 moved from x:970.4 y:530.0 to x:970.4 y:522.0,1684793244.46364
auto_moving, fixation 1 moved from x:406.1 y:523.9 to x:406.1 y:522.0,1684793246.149077
auto_moving, fixation 2 moved from x:370.0 y:519.1 to x:370.0 y:522.0,1684793247.6111
auto_moving, fixation 3 moved from x:439.7 y:513.2 to x:439.7 y:522.0,1684793248.884144
auto_moving, fixation 4 moved from x:592.4 y:498.2 to x:592.4 y:522.0,1684793250.2481558
auto_moving, fixation 5 moved from x:565.7 y:514.7 to x:565.7 y:522.0,1684793251.54494
auto_moving, fixation 6 moved from x:362.8 y:519.3 to x:362.8 y:522.0,1684793253.001007
auto_moving, fixation 7 moved from x:438.9 y:525.4 to x:438.9 y:522.0,1684793279.5675142
auto_moving, fixation 8 moved from x:454.7 y:530.1 to x:454.7 y:522.0,1684793281.08802
auto_moving, fixation 9 moved from x:472.1 y:529.6 to x:472.1 y:522.0,1684793282.393
auto_moving, fixation 10 moved from x:482.8 y:529.7 to x:482.8 y:522.0,1684793283.72586
auto_moving, fixation 11 moved from x:498.1 y:521.6 to x:498.1 y:522.0,1684793287.2434208
manual_moving, fixation 12 moved from x:622.4 y:1162.2 to x:638.6874085310625 y:522.6720651817133,1684793294.761528
manual_moving, fixation 12 moved from x:638.6874085310625 y:522.6720651817133 to x:636.8613200570928 y:522.6720651817133,1684793298.80396
auto_moving, fixation 13 moved from x:556.1 y:526.2 to x:556.1 y:522.0,1684793302.2016902
auto_moving, fixation 14 moved from x:582.3 y:511.3 to x:582.3 y:522.0,1684793303.562454
auto_moving, fixation 15 moved from x:653.3 y:501.0 to x:653.3 y:522.0,1684793304.785902
auto_moving, fixation 16 moved from x:663.9 y:502.5 to x:663.9 y:522.0,1684793306.1668322
auto_moving, fixation 17 moved from x:676.3 y:480.7 to x:676.3 y:522.0,1684793307.466357
auto_moving, fixation 18 moved from x:697.0 y:548.4 to x:697.0 y:522.0,1684793309.452151
auto_moving, fixation 19 moved from x:683.3 y:506.0 to x:683.3 y:522.0,1684793310.787195
auto_moving, fixation 20 moved from x:686.8 y:528.3 to x:686.8 y:522.0,1684793312.25782
auto_moving, fixation 21 moved from x:682.8 y:518.1 to x:682.8 y:522.0,1684793313.5995572
auto_moving, fixation 22 moved from x:764.4 y:511.7 to x:764.4 y:522.0,1684793314.8708942
auto_moving, fixation 23 moved from x:794.5 y:512.9 to x:794.5 y:522.0,1684793316.068903
auto_moving, fixation 24 moved from x:760.6 y:507.1 to x:760.6 y:522.0,1684793317.368613
auto_moving, fixation 25 moved from x:757.1 y:509.7 to x:757.1 y:522.0,1684793318.539947
auto_moving, fixation 26 moved from x:833.8 y:552.4 to x:833.8 y:522.0,1684793319.684172
auto_moving, fixation 27 moved from x:864.1 y:513.4 to x:864.1 y:522.0,1684793320.898026
